class,threshold,0,1,2,3,4,5,6,7,8,9,10,11,12,-1
0,0,336,2,0,0,0,0,16,13,2,1,0,1,0,404
1,0,0,256,0,0,10,0,0,11,2,1,0,0,0,311
2,0,0,0,260,0,12,14,0,0,0,0,0,1,0,362
3,0,0,51,0,213,0,10,5,0,0,0,0,0,0,279
4,0,0,16,10,0,703,0,0,2,1,45,46,0,0,349
5,0,0,1,23,14,3,670,1,0,0,0,52,34,1,361
6,0,14,3,0,25,0,0,674,0,32,0,0,29,3,371
7,0,11,22,0,0,3,0,0,683,35,29,1,0,0,365
8,0,3,0,0,0,0,0,32,35,1212,8,4,6,29,485
9,0,1,2,1,0,42,0,0,59,12,1330,5,2,26,427
10,0,0,0,4,0,47,34,0,0,1,7,1310,7,25,478
11,0,0,0,0,2,0,34,65,0,12,0,2,1322,15,495
12,0,0,0,0,0,2,2,2,1,35,39,43,44,143,263
-1,0,741,837,655,703,1069,1170,1227,1267,1903,1638,1693,1688,579,0
0,10,330,2,0,0,0,0,17,12,1,1,0,1,0,411
1,10,0,249,0,0,10,0,0,10,2,1,0,0,0,319
2,10,0,0,257,0,12,13,0,0,0,0,0,1,0,366
3,10,0,49,0,213,0,8,5,0,0,0,0,0,0,283
4,10,0,16,11,0,699,0,0,1,1,45,44,0,0,355
5,10,0,1,21,13,2,670,1,0,0,0,50,32,1,369
6,10,14,2,0,23,0,0,674,0,31,0,0,26,2,379
7,10,11,22,0,0,3,0,0,684,34,26,1,0,0,368
8,10,3,0,0,0,0,0,29,33,1207,8,4,6,29,495
9,10,1,2,1,0,41,0,0,58,12,1326,5,1,25,435
10,10,0,0,4,0,46,29,0,0,1,4,1312,6,25,486
11,10,0,0,0,1,0,32,61,0,11,0,2,1315,16,509
12,10,0,0,0,0,1,2,2,1,32,38,43,43,140,272
-1,10,665,756,574,633,971,1056,1078,1168,1737,1502,1538,1541,528,0
0,20,304,0,0,0,0,0,12,10,0,1,0,1,0,447
1,20,0,208,0,0,5,0,0,9,1,1,0,0,0,367
2,20,0,0,215,0,9,10,0,0,0,0,0,0,0,415
3,20,0,8,0,215,0,6,4,0,0,0,0,0,0,325
4,20,0,9,5,0,670,0,0,0,0,39,33,0,0,416
5,20,0,0,10,10,0,634,2,0,0,0,31,27,1,445
6,20,6,0,0,12,0,0,631,0,26,0,0,21,1,454
7,20,4,15,0,0,0,0,0,649,26,20,1,0,0,434
8,20,1,0,0,0,0,0,16,19,1157,4,0,4,30,583
9,20,0,1,0,0,24,0,0,24,3,1283,3,1,21,547
10,20,0,0,4,0,28,21,0,0,0,3,1266,1,19,571
11,20,0,0,0,2,0,15,36,0,3,0,1,1274,25,591
12,20,0,0,0,0,1,1,1,2,21,19,26,24,145,334
-1,20,343,245,270,287,487,506,507,567,817,713,785,758,249,0
0,30,266,0,0,0,0,0,7,8,0,1,0,1,0,492
1,30,0,172,0,0,3,0,0,2,1,1,0,0,0,412
2,30,0,0,187,0,5,9,0,0,0,0,0,0,0,448
3,30,0,0,0,177,0,5,3,0,0,0,0,0,0,373
4,30,0,3,3,0,602,0,0,0,0,29,25,0,0,510
5,30,0,0,10,4,0,586,2,0,0,0,19,19,0,520
6,30,5,0,0,6,0,0,575,0,19,0,0,12,1,533
7,30,4,9,0,0,0,0,0,584,17,12,1,0,0,522
8,30,1,0,0,0,0,0,11,12,1056,0,0,2,27,705
9,30,0,0,0,0,19,0,0,14,2,1153,1,1,15,702
10,30,0,0,2,0,17,12,0,0,0,2,1135,1,17,727
11,30,0,0,0,1,0,6,23,0,3,0,1,1160,21,732
12,30,0,0,0,0,1,1,2,1,8,10,17,22,134,378
-1,30,200,107,152,159,280,302,316,333,481,430,469,455,128,0
0,40,223,0,0,0,0,0,4,7,0,1,0,1,0,539
1,40,0,127,0,0,2,0,0,1,1,0,0,0,0,460
2,40,0,0,142,0,3,4,0,0,0,0,0,0,0,500
3,40,0,0,0,147,0,4,3,0,0,0,0,0,0,404
4,40,0,2,2,0,544,0,0,0,0,22,12,0,0,590
5,40,0,0,4,2,0,499,0,0,0,0,13,15,0,627
6,40,4,0,0,2,0,0,476,0,12,0,0,9,1,647
7,40,4,6,0,0,0,0,0,507,10,11,0,0,0,611
8,40,1,0,0,0,0,0,8,6,914,0,0,1,18,866
9,40,0,0,0,0,12,0,0,8,1,993,1,0,11,881
10,40,0,0,2,0,9,7,0,0,0,2,993,1,11,888
11,40,0,0,0,1,0,4,14,0,2,0,0,978,16,932
12,40,0,0,0,0,0,1,2,0,4,5,15,17,113,417
-1,40,114,48,85,96,167,194,202,224,293,254,283,298,79,0
0,50,174,0,0,0,0,0,3,5,0,0,0,1,0,592
1,50,0,75,0,0,2,0,0,1,0,0,0,0,0,513
2,50,0,0,115,0,1,2,0,0,0,0,0,0,0,531
3,50,0,0,0,108,0,4,2,0,0,0,0,0,0,444
4,50,0,1,1,0,421,0,0,0,0,13,5,0,0,731
5,50,0,0,4,2,0,384,0,0,0,0,9,5,0,756
6,50,1,0,0,1,0,0,372,0,9,0,0,7,1,760
7,50,1,1,0,0,0,0,0,399,8,9,0,0,0,731
8,50,1,0,0,0,0,0,6,4,709,0,0,1,10,1083
9,50,0,0,0,0,6,0,0,6,0,769,0,0,6,1120
10,50,0,0,0,0,6,5,0,0,0,2,765,0,5,1130
11,50,0,0,0,1,0,2,8,0,1,0,0,775,10,1150
12,50,0,0,0,0,0,1,2,0,2,3,8,14,77,467
-1,50,63,19,50,54,104,108,131,139,176,139,164,177,48,0
0,60,115,0,0,0,0,0,0,1,0,0,0,0,0,659
1,60,0,13,0,0,0,0,0,0,0,0,0,0,0,578
2,60,0,0,75,0,1,1,0,0,0,0,0,0,0,572
3,60,0,0,0,79,0,3,1,0,0,0,0,0,0,475
4,60,0,0,1,0,274,0,0,0,0,4,3,0,0,890
5,60,0,0,1,0,0,268,0,0,0,0,4,3,0,884
6,60,0,0,0,1,0,0,272,0,2,0,0,4,0,872
7,60,1,0,0,0,0,0,0,278,7,4,0,0,0,859
8,60,0,0,0,0,0,0,3,0,468,0,0,0,2,1341
9,60,0,0,0,0,3,0,0,2,0,541,0,0,2,1359
10,60,0,0,0,0,3,3,0,0,0,0,515,0,1,1391
11,60,0,0,0,1,0,2,4,0,1,0,0,521,0,1418
12,60,0,0,0,0,0,1,1,0,2,2,5,5,54,504
-1,60,30,1,22,21,60,57,75,74,104,73,91,99,19,0
0,70,69,0,0,0,0,0,0,0,0,0,0,0,0,706
1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,591
2,70,0,0,40,0,1,0,0,0,0,0,0,0,0,608
3,70,0,0,0,33,0,2,1,0,0,0,0,0,0,522
4,70,0,0,0,0,148,0,0,0,0,1,0,0,0,1023
5,70,0,0,0,0,0,159,0,0,0,0,1,1,0,999
6,70,0,0,0,0,0,0,164,0,0,0,0,2,0,985
7,70,0,0,0,0,0,0,0,169,1,1,0,0,0,978
8,70,0,0,0,0,0,0,1,0,251,0,0,0,2,1560
9,70,0,0,0,0,1,0,0,1,0,320,0,0,0,1585
10,70,0,0,0,0,0,2,0,0,0,0,264,0,1,1646
11,70,0,0,0,1,0,0,0,0,1,0,0,283,0,1662
12,70,0,0,0,0,0,1,0,0,2,1,2,3,20,545
-1,70,10,0,8,8,27,25,32,26,43,30,34,37,9,0
0,80,16,0,0,0,0,0,0,0,0,0,0,0,0,759
1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,591
2,80,0,0,13,0,0,0,0,0,0,0,0,0,0,636
3,80,0,0,0,10,0,0,0,0,0,0,0,0,0,548
4,80,0,0,0,0,51,0,0,0,0,0,0,0,0,1121
5,80,0,0,0,0,0,60,0,0,0,0,1,1,0,1098
6,80,0,0,0,0,0,0,59,0,0,0,0,0,0,1092
7,80,0,0,0,0,0,0,0,64,1,1,0,0,0,1083
8,80,0,0,0,0,0,0,0,0,69,0,0,0,0,1745
9,80,0,0,0,0,0,0,0,0,0,93,0,0,0,1814
10,80,0,0,0,0,0,0,0,0,0,0,88,0,0,1825
11,80,0,0,0,0,0,0,0,0,0,0,0,96,0,1851
12,80,0,0,0,0,0,0,0,0,2,0,0,0,2,570
-1,80,1,0,1,1,12,6,9,9,8,7,6,7,1,0
0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,775
1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,591
2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,649
3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,558
4,90,0,0,0,0,2,0,0,0,0,0,0,0,0,1170
5,90,0,0,0,0,0,6,0,0,0,0,0,0,0,1154
6,90,0,0,0,0,0,0,4,0,0,0,0,0,0,1147
7,90,0,0,0,0,0,0,0,3,0,0,0,0,0,1146
8,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1812
9,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1906
10,90,0,0,0,0,0,0,0,0,0,0,2,0,0,1911
11,90,0,0,0,0,0,0,0,0,0,0,0,3,0,1944
12,90,0,0,0,0,0,0,0,0,0,0,0,0,0,574
-1,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,775
1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,591
2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,649
3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,558
4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1172
5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1160
6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1151
7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1149
8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1814
9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1907
10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1947
12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,574
-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
